LakeID,copies_mcrA_per_g,copies_16S_per_g
BH,3253424.65753425,62500000
BO,17953454.0081271,34355374.9538234
BR,9830960.85409253,122553380.782918
BY,12616963.477211,91759734.3797163
CB,1091450.30593683,6234496.44451794
CR,330909.630508978,306672.60226542
CYB,2330325.61788937,17732444.0957238
HB,7290194.9703306,48601299.802204
HH,1722745.62584118,37954239.5693136
JS,3478260.86956522,9505928.85375494
MI,2236318.4079602,13917910.4477612
MO,4903551.46926267,34252749.2338201
NG,4089506.17283951,109182098.765432
NH,2311886.58669575,11123227.917121
PA,2204752.86888949,19788560.5855245
PE,1194122.19644238,9280742.45939675
SE,2394981.94259646,21098650.4466831
TB,5563689.60468521,47401171.3030747
TF,2092925.91042277,23440770.196735
TR,5919521.11739275,49883604.921849
WA,3672260.61204344,27739387.9565647
WL,3552251.13589426,9861627.42668319
