dateSample,year,sediment_pH,percOM,OM_umol,chl.a,LakeID
7/19/19,2019,6.57,26.7,61187,12.1,BO
7/31/19,2019,7.3,28.5,65312,10.4,BR
8/7/19,2019,6.87,24.1,55229,30.8,BY
6/24/19,2019,3.87,36.7,84104,3.3,CB
6/10/19,2019,5.99,26.5,60729,6.2,CR
6/21/19,2019,4.93,35.9,82270,6.6,HB
8/7/19,2019,6.74,24.4,55916,11,JS
6/17/19,2019,6.99,26,59583,13.4,MO
6/24/19,2019,3.48,36.7,84104,18.3,NG
6/20/19,2019,5.8,33.3,76312,3.2,PA
6/20/19,2019,6.28,36.4,83416,4.6,PE
7/31/19,2019,6.75,26.3,60270,10.5,TF
7/22/19,2019,7.44,25.1,57520,3.4,WA
8/24/20,2020,5.6,35.2,78236,9.9,NH
8/24/20,2020,5.22,31.2,78230,7.5,SE
8/25/20,2020,7.12,21,64791,10.6,BH
8/25/20,2020,7.28,20,58369,9.3,HH
8/27/20,2020,4.2,38.6,77337,15,TB
8/26/20,2020,3.89,43.3,80900,8.7,TR
8/26/20,2020,5.47,40.3,93540,10.1,MI
8/26/20,2020,5.8,36.1,74009,9.9,WL
8/27/20,2020,4.32,38.1,63437,21.7,CYB
